FATHID,CaseID,ITT,BOY,Cage1,CUSTSAT1,DAGE1,EDUC1,INCOME1,FTCKNOW2,HARSH2,INCONS2,POS2,HARSH3,INCONS3,POS3,ECBIN3T,ECBPRB3T,SDQPRO3
FTC005,3,0,1,6,5,45,5,5,9,3.45454545454545,2.66666666666667,4.13333333333333,2.45454545454545,2.77777777777778,4.2,46,54,9
FTC007,4,0,1,13,3,42,4,5,10,2.27272727272727,2.88888888888889,4.33333333333333,2,3,4.26666666666667,52,47,6
FTC011,6,1,1,3,2,40,3,6,12,2.18181818181818,2.55555555555556,5,2,3.22222222222222,4.6,57,49,6
FTC013,8,0,1,16,2,39,7,11,10,2.72727272727273,2.11111111111111,3.66666666666667,2.63636363636364,2.11111111111111,3.26666666666667,71,76,5
FTC019,10,0,1,3,5,28,3,3,8,1.54545454545455,3.44444444444444,5.2,2,2.22222222222222,4,53,41,9
FTC024,12,0,1,10,1,37,5,9,10,2,2.22222222222222,4.06666666666667,2.27272727272727,2.55555555555556,4,61,56,5
FTC026,13,0,0,7,5,35,5,9,9,2.36363636363636,2.44444444444444,4.53333333333333,2,2.66666666666667,4.93333333333333,43,45,9
FTC045,21,1,1,4,2,29,5,4,11,1.81818181818182,2.66666666666667,4.26666666666667,1.90909090909091,2.55555555555556,4.33333333333333,51,45,8
FTC047,23,1,0,9,2,46,3,6,11,1.36363636363636,2.66666666666667,4.53333333333333,1.63636363636364,3,3.86666666666667,55,54,9
FTC049,24,1,1,17,3,52,4,11,11,1,2.11111111111111,4.33333333333333,1,2,4.86666666666667,45,41,6
FTC060,30,0,1,7,1,45,4,5,10,1.27272727272727,2.33333333333333,4.46666666666667,1.45454545454545,2.66666666666667,4.73333333333333,46,51,10
FTC062,31,0,0,9,3,42,7,4,10,2.18181818181818,3,3.93333333333333,2,2.88888888888889,4,53,59,10
FTC070,34,0,0,12,5,41,3,1,11,1.45454545454545,2.55555555555556,3.66666666666667,1.18181818181818,2.66666666666667,4.26666666666667,38,49,10
FTC071,35,0,1,4,3,32,4,4,11,2.36363636363636,4,4.33333333333333,2.36363636363636,3.66666666666667,4.2,60,55,10
FTC072,36,1,1,4,4,33,5,4,9,1.72727272727273,2.88888888888889,4.53333333333333,1.54545454545455,2.33333333333333,4.6,51,49,10
FTC075,37,0,0,8,5,29,7,6,7,2.09090909090909,2.44444444444444,4.2,1.81818181818182,2.33333333333333,3.86666666666667,53,52,6
FTC083,40,1,1,13,3,41,3,5,7,1.72727272727273,3.33333333333333,4.06666666666667,1.36363636363636,1.88888888888889,5.53333333333333,45,49,10
FTC084,41,1,0,3,1,30,3,4,11,1.54545454545455,2.22222222222222,5.53333333333333,1.36363636363636,2.11111111111111,5.26666666666667,42,42,10
FTC086,42,0,1,8,5,40,5,3,8,2.27272727272727,3.44444444444444,4.13333333333333,2.36363636363636,3.33333333333333,4.13333333333333,69,76,10
FTC091,44,0,1,2,4,32,5,4,8,2.18181818181818,2.55555555555556,4,2.54545454545455,3,4.06666666666667,42,41,7
FTC094,46,1,1,6,5,49,9,1,11,1.45454545454545,1.88888888888889,4.4,1.36363636363636,2.33333333333333,5,36,41,10
FTC097,49,1,1,3,4,38,3,3,12,2.45454545454545,2.22222222222222,5,2.09090909090909,2.22222222222222,5.06666666666667,45,45,9
FTC098,50,0,1,13,4,55,3,4,10,3.81818181818182,3.66666666666667,3.4,2.18181818181818,2.88888888888889,3.06666666666667,73,88,4
FTC102,53,0,1,4,3,28,4,4,7,1.72727272727273,2.22222222222222,4.33333333333333,1.81818181818182,2.88888888888889,3.8,59,59,9
FTC103,54,0,1,2,2,27,3,3,11,2.18181818181818,2.88888888888889,5.26666666666667,2.36363636363636,2.77777777777778,4.2,47,41,9
FTC113,62,0,0,8,1,45,5,8,11,1.90909090909091,2,5.2,2,1.11111111111111,4.26666666666667,34,41,10
FTC115,63,0,0,4,3,38,4,2,10,2.09090909090909,2.55555555555556,4.13333333333333,2.27272727272727,2.55555555555556,3.8,56,46,8
FTC117,64,1,1,6,5,46,8,5,11,1.45454545454545,2.22222222222222,3.93333333333333,1.36363636363636,2.44444444444444,3.8,56,52,8
FTC118,65,0,0,8,5,31,4,2,9,2.36363636363636,2.44444444444444,3.13333333333333,2.72727272727273,2.77777777777778,3,60,72,9
FTC126,69,0,0,3,4,32,6,11,10,1.45454545454545,2.11111111111111,5.46666666666667,1.45454545454545,2.11111111111111,5.86666666666667,54,55,9
FTC129,71,1,1,8,4,47,5,5,11,2.54545454545455,3.11111111111111,3.26666666666667,2.45454545454545,3.55555555555556,3.73333333333333,54,60,9
FTC130,72,1,0,13,3,37,5,8,12,1.90909090909091,1.88888888888889,2.73333333333333,1.81818181818182,1.88888888888889,3.26666666666667,36,45,10
FTC131,73,0,1,11,3,50,4,7,9,2.09090909090909,2.66666666666667,4.13333333333333,1.90909090909091,2.33333333333333,3.73333333333333,54,46,6
FTC132,74,0,1,9,3,39,8,7,10,2.63636363636364,2.66666666666667,3.93333333333333,2.36363636363636,2.44444444444444,4.66666666666667,60,60,6
FTC135,76,1,1,11,2,43,3,9,13,1.81818181818182,2.22222222222222,3.73333333333333,1.63636363636364,2.44444444444444,3.86666666666667,57,55,9
FTC139,79,0,1,7,3,45,8,11,9,1.63636363636364,3,3.66666666666667,1.90909090909091,2.66666666666667,3.26666666666667,54,47,7
FTC140,80,0,0,11,5,32,3,2,8,2.81818181818182,2.44444444444444,3.93333333333333,2.90909090909091,2.55555555555556,4,40,41,10
FTC144,83,1,1,18,5,37,4,6,10,1,1.66666666666667,5.53333333333333,1.09090909090909,2.33333333333333,5.93333333333333,33,41,10
FTC145,84,1,1,18,3,46,7,7,13,2.36363636363636,2.11111111111111,4.53333333333333,1.90909090909091,2.11111111111111,4.73333333333333,42,52,9
FTC152,87,0,1,4,2,35,4,4,10,1.72727272727273,2,6.06666666666667,1.36363636363636,1.88888888888889,6.33333333333333,62,41,9
FTC154,88,1,1,2,5,42,4,11,11,1.36363636363636,1.33333333333333,6.66666666666667,1.63636363636364,2.22222222222222,6.66666666666667,39,42,10
FTC156,90,0,1,16,4,42,8,6,10,2.72727272727273,2.44444444444444,4.33333333333333,1.90909090909091,2.88888888888889,4,45,54,10
FTC157,91,0,1,9,2,43,3,2,7,1.36363636363636,1.77777777777778,4.06666666666667,1.18181818181818,1.77777777777778,4.06666666666667,40,41,10
FTC162,94,1,1,6,4,35,5,7,14,1.72727272727273,2.33333333333333,5.73333333333333,1.81818181818182,2,6.2,54,49,10
FTC173,100,1,1,12,4,39,3,2,14,1.72727272727273,2.55555555555556,5.6,1.90909090909091,3,5.33333333333333,63,67,1
FTC174,101,0,0,6,2,35,8,11,13,2.09090909090909,3,5.13333333333333,2.18181818181818,2.55555555555556,5.06666666666667,48,43,9
FTC176,102,1,0,7,2,43,4,4,12,1.45454545454545,2.22222222222222,5.93333333333333,1.36363636363636,2.11111111111111,6.13333333333333,48,43,10
FTC178,103,0,0,9,4,41,5,4,6,1.36363636363636,2.55555555555556,4.6,2,3,4.46666666666667,61,68,7
FTC185,109,0,1,8,1,30,4,2,10,2.09090909090909,2.44444444444444,5.13333333333333,2.18181818181818,2.88888888888889,4.8,45,47,9
FTC188,111,0,0,6,2,44,6,5,9,3.09090909090909,3.44444444444444,4.46666666666667,2.27272727272727,2.11111111111111,4.53333333333333,58,59,10
FTC192,112,1,0,3,5,41,3,5,11,2,2.55555555555556,3.4,1.63636363636364,2.11111111111111,4.2,46,42,10
FTC194,114,0,1,11,5,41,4,3,7,2.36363636363636,3.11111111111111,5,2.81818181818182,3.11111111111111,5,41,43,10
